id,studentid,jobid,action,content
488,2015011253,3,TIME_ESTIMATION,TIMESTAMP=1446043699377	USER=2015011253	JOBID=3	ACTION=TIME_ESTIMATION	INFO: CURRENT_DOC=4 ET=122
489,2015011253,4,BEGIN_CALIBRATION,TIMESTAMP=1446043726477	USER=2015011253	JOBID=4	ACTION=BEGIN_CALIBRATION	INFO:
490,2015011253,4,END_CALIBRATION,TIMESTAMP=1446043913970	USER=2015011253	JOBID=4	ACTION=END_CALIBRATION	INFO:
491,2015011253,4,BEGIN_READING,TIMESTAMP=1446043917690	USER=2015011253	JOBID=4	ACTION=BEGIN_READING	INFO: CURRENT_DOC=1
492,2015011253,4,END_READING,TIMESTAMP=1446044034705	USER=2015011253	JOBID=4	ACTION=END_READING	INFO: CURRENT_DOC=1
493,2015011253,4,TIME_ESTIMATION,TIMESTAMP=1446044041575	USER=2015011253	JOBID=4	ACTION=TIME_ESTIMATION	INFO: CURRENT_DOC=1 ET=124
494,2015011253,4,BEGIN_READING,TIMESTAMP=1446044042846	USER=2015011253	JOBID=4	ACTION=BEGIN_READING	INFO: CURRENT_DOC=2
495,2015011253,4,END_READING,TIMESTAMP=1446044156123	USER=2015011253	JOBID=4	ACTION=END_READING	INFO: CURRENT_DOC=2
496,2015011253,4,TIME_ESTIMATION,TIMESTAMP=1446044159590	USER=2015011253	JOBID=4	ACTION=TIME_ESTIMATION	INFO: CURRENT_DOC=2 ET=123
497,2015011253,4,BEGIN_READING,TIMESTAMP=1446044161089	USER=2015011253	JOBID=4	ACTION=BEGIN_READING	INFO: CURRENT_DOC=3
