id,studentid,jobid,action,content
98,2015012805,1,END_CALIBRATION,TIMESTAMP=1449751019734	USER=2015012805	JOBID=1	DOCID=9	ACTION=END_CALIBRATION	INFO:
99,2015012805,1,BEGIN_READING,TIMESTAMP=1449751072707	USER=2015012805	JOBID=1	ACTION=BEGIN_READING	INFO: CURRENT_DOC=1
100,2015012805,1,END_READING,TIMESTAMP=1449751377661	USER=2015012805	JOBID=1	ACTION=END_READING	INFO: CURRENT_DOC=1
101,2015012805,1,RELEVANCE_ANNOTATION,TIMESTAMP=1449751412326	USER=2015012805	JOBID=1	ACTION=RELEVANCE_ANNOTATION	INFO: CURRENT_DOC=1 REL=3
102,2015012805,1,BEGIN_READING,TIMESTAMP=1449751415118	USER=2015012805	JOBID=1	ACTION=BEGIN_READING	INFO: CURRENT_DOC=2
103,2015012805,1,END_READING,TIMESTAMP=1449751823034	USER=2015012805	JOBID=1	ACTION=END_READING	INFO: CURRENT_DOC=2
104,2015012805,1,RELEVANCE_ANNOTATION,TIMESTAMP=1449751826945	USER=2015012805	JOBID=1	ACTION=RELEVANCE_ANNOTATION	INFO: CURRENT_DOC=2 REL=1
105,2015012805,1,BEGIN_READING,TIMESTAMP=1449751828458	USER=2015012805	JOBID=1	ACTION=BEGIN_READING	INFO: CURRENT_DOC=3
106,2015012805,1,END_READING,TIMESTAMP=1449752348574	USER=2015012805	JOBID=1	ACTION=END_READING	INFO: CURRENT_DOC=3
107,2015012805,1,BEGIN_READING,TIMESTAMP=1449752353727	USER=2015012805	JOBID=1	ACTION=BEGIN_READING	INFO: CURRENT_DOC=4
108,2015012805,1,END_READING,TIMESTAMP=1449752988681	USER=2015012805	JOBID=1	ACTION=END_READING	INFO: CURRENT_DOC=4
109,2015012805,1,RELEVANCE_ANNOTATION,TIMESTAMP=1449752992721	USER=2015012805	JOBID=1	ACTION=RELEVANCE_ANNOTATION	INFO: CURRENT_DOC=4 REL=0
110,2015012805,1,TIME_ESTIMATION,TIMESTAMP=1449753100688	USER=2015012805	JOBID=1	DOCID=0	ACTION=TIME_ESTIMATION	INFO:Segments=241_565_765_
111,2015012805,1,RELATIVE_ESTIMATION,TIMESTAMP=1449753341871	USER=2015012805	JOBID=1	DOCID=0	ACTION=RELATIVE_ESTIMATION	INFO:Range=_13_16_17_20_10_12_12_15_49_60 Relative=70_97_53_67_
112,2015012805,1,OUTCOME,"TIMESTAMP=1449753905754	USER=2015012805	JOBID=1	DOCID=0	ACTION=OUTCOME	INFO:answer=Some people say it may be a result of empathy,human beings seems likely to be infected by others.It's also a kind of communication and link us to others around us.Maybe it's a indication that we care about others' feelings and actions.Studies also show that students whose major is philosophy yawn more than those students whose major is related to math or statistics."
113,2015012805,2,TIME_ESTIMATION,TIMESTAMP=1449754925708	USER=2015012805	JOBID=2	DOCID=0	ACTION=TIME_ESTIMATION	INFO:Segments=337_579_842_
114,2015012805,2,RELATIVE_ESTIMATION,TIMESTAMP=1449755056131	USER=2015012805	JOBID=2	DOCID=0	ACTION=RELATIVE_ESTIMATION	INFO:Range=_15_18_11_14_14_17_9_12_49_60 Relative=96_70_84_51_
115,2015012805,2,OUTCOME,"TIMESTAMP=1449755338385	USER=2015012805	JOBID=2	DOCID=0	ACTION=OUTCOME	INFO:answer=In the beginning,one film can only last for less than a munite,and many films don't have sounds.Then,the films can last for a long time ,and we can hear sounds.Besides,we could not watch the images and hear the sound at the same time before,but this problem is solved.With the development of films,there are mackets for stars."
116,2015012805,3,BEGIN_READING,TIMESTAMP=1449755392618	USER=2015012805	JOBID=3	ACTION=BEGIN_READING	INFO: CURRENT_DOC=1
117,2015012805,3,END_READING,TIMESTAMP=1449755779597	USER=2015012805	JOBID=3	ACTION=END_READING	INFO: CURRENT_DOC=1
118,2015012805,3,RELEVANCE_ANNOTATION,TIMESTAMP=1449755782133	USER=2015012805	JOBID=3	ACTION=RELEVANCE_ANNOTATION	INFO: CURRENT_DOC=1 REL=3
119,2015012805,3,BEGIN_READING,TIMESTAMP=1449755785254	USER=2015012805	JOBID=3	ACTION=BEGIN_READING	INFO: CURRENT_DOC=2
120,2015012805,3,END_READING,TIMESTAMP=1449755870526	USER=2015012805	JOBID=3	ACTION=END_READING	INFO: CURRENT_DOC=2
121,2015012805,3,RELEVANCE_ANNOTATION,TIMESTAMP=1449755876909	USER=2015012805	JOBID=3	ACTION=RELEVANCE_ANNOTATION	INFO: CURRENT_DOC=2 REL=0
122,2015012805,3,BEGIN_READING,TIMESTAMP=1449755878150	USER=2015012805	JOBID=3	ACTION=BEGIN_READING	INFO: CURRENT_DOC=3
123,2015012805,3,END_READING,TIMESTAMP=1449756222802	USER=2015012805	JOBID=3	ACTION=END_READING	INFO: CURRENT_DOC=3
124,2015012805,3,BEGIN_READING,TIMESTAMP=1449756230442	USER=2015012805	JOBID=3	ACTION=BEGIN_READING	INFO: CURRENT_DOC=4
